Plant,Market,Cost
P017,M019,12.17
P017,M021,5.9
P017,M022,38.12
P017,M024,32.17
P017,M025,7.16
P017,M026,38.45
P017,M027,26.73
P017,M028,36.9
P017,M029,5.78
P017,M030,32.07
P017,M031,26.51
P017,M032,26.84
P017,M033,29.540000000000003
P017,M034,29.71
P017,M035,10.32
P017,M036,26.29
P017,M037,3.59
P017,M038,9.86
P017,M039,14.51
P017,M040,36.66
P017,M041,29.09
P017,M042,23.82
P017,M043,28.01
P017,M044,24.23
P017,M045,21.49
P017,M046,37.53
P017,M047,6.98
P017,M048,42.08
P017,M049,5.55
P017,M050,35.12
P017,M051,24.47
P017,M052,4.31
P017,M053,41.6
P017,M054,28.18
P017,M055,11.56
P017,M056,39.39
P017,M057,23.78
P017,M058,24.52
P017,M060,4.01
P017,M061,5.11
P017,M063,15.21
P017,M064,14.77
P017,M065,18.37
P017,M066,16.39
P017,M067,13.25
P017,M068,20.65
P017,M069,35.07
P017,M070,12.31
P017,M071,10.08
P017,M072,36.11
P017,M073,11.58
P017,M074,8.63
P017,M075,7.96
P017,M077,19.87
P017,M078,23.81
P017,M080,25.290000000000003
P017,M081,10.42
P017,M082,18.61
P017,M083,30.12
P017,M084,13.35
P017,M085,13.82
P017,M086,28.31
P017,M087,25.92
P017,M088,4.66
P017,M089,8.49
P017,M090,6.409999999999999
P017,M091,30.03
P017,M092,26.99
P017,M093,21.91
P017,M094,7.56
P017,M095,24.74
P017,M096,14.34
P017,M097,20.37
P017,M099,38.81
P017,M100,36.82
P018,M001,8.04
P018,M002,11.84
P018,M003,31.51
P018,M004,31.13
P018,M005,10.93
P018,M006,5.33
P018,M007,9.23
P018,M008,5.76
P018,M009,27.71
P018,M010,4.54
P018,M011,10.59
P018,M012,20.69
P018,M015,37.09
P018,M016,38.08
P018,M017,19.58
P018,M019,32.7
P018,M020,37.43
P018,M021,39.96
P018,M024,17.79
P018,M025,5.03
P018,M027,40.15
P018,M029,41.41
P018,M030,40.39
P018,M032,18.07
P018,M033,19.48
P018,M034,10.95
P018,M035,36.83
P018,M036,13.58
P018,M037,38.57
P018,M038,28.38
P018,M039,25.58
P018,M040,7.669999999999999
P018,M041,18.06
P018,M042,30.58
P018,M043,19.58
P018,M044,37.13
P018,M045,21.69
P018,M046,32.91
P018,M047,36.21
P018,M048,33.72
P018,M049,21.26
P018,M050,29.33
P018,M051,30.44
P018,M052,10.89
P018,M053,21.83
P018,M054,20.17
P018,M055,19.71
P018,M056,6.74
P018,M057,22.04
P018,M058,5.489999999999999
P018,M059,18.76
P018,M060,34.95
P018,M061,24.81
P018,M063,24.98
P018,M064,14.47
P018,M065,28.21
P018,M066,14.51
P018,M067,2.75
P018,M068,6.66
P018,M069,5.83
P018,M070,10.48
P018,M071,27.22
P018,M073,20.21
P018,M074,28.47
P018,M075,21.52
P018,M076,33.86
P018,M077,13.35
P018,M078,23.83
P018,M081,19.16
P018,M082,26.11
P018,M083,37.48
P018,M084,39.64
P018,M086,23.41
P018,M087,2.83
P018,M088,34.96
P018,M090,29.85
P018,M091,7.7
P018,M092,11.5
P018,M093,16.46
P018,M094,10.23
P018,M096,11.31
P018,M097,12.88
P018,M099,31.56
P018,M100,15.18
P019,M001,34.11
P019,M002,21.89
P019,M004,10.01
P019,M005,20.96
P019,M006,29.99
P019,M008,8.76
P019,M009,15.74
P019,M010,16.98
P019,M011,35.53
P019,M012,38.25
P019,M013,21.3
P019,M014,13.44
P019,M015,28.84
P019,M016,16.41
P019,M017,14.93
P019,M018,36.25
P019,M019,8.68
P019,M020,8.27
P019,M021,17.85
P019,M022,15.39
P019,M023,42.17
P019,M025,14.78
P019,M026,15.21
P019,M027,35.68
P019,M029,15.36
P019,M030,21.82
P019,M032,37.35
P019,M033,37.47
P019,M034,12.4
P019,M035,41.5
P019,M036,17.25
P019,M038,17.47
P019,M039,31.290000000000003
P019,M041,39.12
P019,M042,13.91
P019,M043,35.13
P019,M044,7.37
P019,M045,36.24
P019,M046,31.77
P019,M048,8.68
P019,M049,35.8
P019,M050,8.45
P019,M052,26.89
P019,M053,10.0
P019,M054,5.84
P019,M055,35.61
P019,M056,39.36
P019,M057,37.89
P019,M058,36.37
P019,M060,14.050000000000002
P019,M061,27.37
P019,M062,41.07
P019,M063,6.6
P019,M064,35.54
P019,M065,7.09
P019,M066,6.99
P019,M068,12.660000000000002
P019,M069,24.43
P019,M070,14.01
P019,M071,40.63
P019,M072,21.06
P019,M073,27.98
P019,M074,16.8
P019,M075,16.24
P019,M076,15.38
P019,M077,27.06
P019,M078,16.63
P019,M079,29.58
P019,M081,35.28
P019,M082,41.62
P019,M083,36.98
P019,M084,27.49
P019,M085,25.17
P019,M086,40.19
P019,M087,17.52
P019,M088,25.36
P019,M089,30.88
P019,M090,18.98
P019,M091,35.95
P019,M092,21.6
P019,M093,19.01
P019,M094,5.43
P019,M095,20.03
P019,M096,29.37
P019,M097,34.91
P019,M098,40.72
P019,M099,30.89
P019,M100,27.97
P020,M001,12.55
P020,M002,40.0
P020,M003,34.81
P020,M004,13.14
P020,M006,28.97
P020,M007,19.02
P020,M008,32.7
P020,M009,36.92
P020,M010,30.2
P020,M011,22.45
P020,M012,25.64
P020,M013,33.47
P020,M014,6.83
P020,M015,21.55
P020,M016,18.2
P020,M017,27.72
P020,M018,27.34
P020,M019,27.12
P020,M021,23.06
P020,M022,29.94
P020,M023,28.55
P020,M025,11.64
P020,M026,34.81
P020,M027,41.19
P020,M028,21.2
P020,M029,27.99
P020,M030,21.34
P020,M031,20.27
P020,M032,36.18
P020,M034,27.7
P020,M035,25.05
P020,M036,35.47
P020,M037,3.36
P020,M038,10.2
P020,M039,35.76
P020,M040,26.88
P020,M044,24.9
P020,M045,8.41
P020,M046,17.19
P020,M047,17.28
P020,M048,8.02
P020,M049,41.38
P020,M050,25.3
P020,M051,23.55
P020,M052,18.3
P020,M053,21.97
P020,M054,37.03
P020,M055,23.81
P020,M056,28.67
P020,M057,35.24
P020,M058,31.84
P020,M059,37.45
P020,M060,21.29
P020,M063,34.85
P020,M064,5.75
P020,M065,26.81
P020,M066,36.73
P020,M067,15.26
P020,M068,37.23
P020,M070,6.43
P020,M071,23.13
P020,M073,40.18
P020,M074,39.49
P020,M075,38.74
P020,M077,37.89
P020,M078,18.41
P020,M079,9.69
P020,M080,12.55
P020,M081,8.2
P020,M082,20.09
P020,M083,15.979999999999999
P020,M084,38.18
P020,M085,39.9
P020,M086,26.9
P020,M087,8.3
P020,M088,25.14
P020,M089,26.05
P020,M091,4.7
P020,M094,30.09
P020,M095,9.99
P020,M096,37.91
P020,M097,27.59
P020,M098,20.13
P020,M099,26.23
P020,M100,38.29
P021,M001,38.42
P021,M002,40.38
P021,M003,5.43
P021,M004,25.42
P021,M005,5.98
P021,M006,31.32
P021,M007,35.96
P021,M009,20.09
P021,M010,8.03
P021,M012,11.73
P021,M014,28.54
P021,M015,4.13
P021,M016,36.21
P021,M017,20.27
P021,M018,12.25
P021,M019,15.81
P021,M020,10.1
P021,M021,38.31
P021,M022,9.07
P021,M023,10.82
P021,M024,31.75
P021,M025,13.34
P021,M026,7.89
P021,M027,8.29
P021,M028,4.87
P021,M029,10.97
P021,M030,11.65
P021,M031,37.72
P021,M032,39.73
P021,M033,6.49
P021,M035,17.47
P021,M036,35.48
P021,M037,26.67
P021,M039,17.72
P021,M041,18.18
P021,M042,18.34
P021,M043,29.06
P021,M044,18.62
P021,M045,9.72
P021,M046,15.73
P021,M047,13.050000000000002
P021,M048,32.33
P021,M049,23.94
P021,M050,15.46
P021,M051,26.12
P021,M052,32.91
P021,M053,36.86
P021,M054,6.45
P021,M055,9.62
P021,M056,14.19
P021,M058,23.94
P021,M059,8.9
P021,M060,25.459999999999997
P021,M062,17.31
P021,M063,5.68
P021,M065,30.17
P021,M066,15.050000000000002
P021,M067,6.64
P021,M068,23.07
P021,M069,4.79
P021,M070,6.3
P021,M071,8.48
P021,M072,7.35
P021,M074,18.17
P021,M075,19.73
P021,M076,19.83
P021,M077,21.9
P021,M078,38.74
P021,M079,35.4
P021,M080,16.88
P021,M081,9.42
P021,M082,38.89
P021,M083,22.36
P021,M084,5.919999999999999
P021,M085,27.03
P021,M087,39.05
P021,M089,36.17
P021,M090,15.830000000000002
P021,M091,17.22
P021,M092,24.6
P021,M093,3.7900000000000005
P021,M094,7.5
P021,M097,10.68
P021,M098,34.58
P021,M099,13.82
P021,M100,40.44
P022,M001,12.7
P022,M005,25.85
P022,M006,27.98
P022,M007,22.28
P022,M008,10.55
P022,M009,4.65
P022,M010,18.81
P022,M011,9.07
P022,M012,19.92
P022,M014,19.04
P022,M015,17.78
P022,M016,14.68
P022,M017,39.0
P022,M018,17.45
P022,M019,37.91
P022,M020,21.51
P022,M021,25.05
P022,M024,27.58
P022,M025,31.31
P022,M026,15.12
P022,M027,12.83
P022,M028,23.68
P022,M029,9.42
P022,M030,17.79
P022,M031,40.12
P022,M033,7.25
P022,M034,13.59
P022,M035,26.54
P022,M036,9.77
P022,M038,30.459999999999997
P022,M039,21.71
P022,M040,9.41
P022,M041,24.1
P022,M042,42.36
P022,M044,26.66
P022,M045,32.58
P022,M046,14.76
P022,M047,19.27
P022,M048,7.67
P022,M049,27.23
P022,M050,12.81
P022,M051,40.45
P022,M053,36.25
P022,M054,12.74
P022,M055,13.64
P022,M056,37.61
P022,M057,27.08
P022,M058,18.62
P022,M059,5.39
P022,M062,30.91
P022,M063,6.1
P022,M065,16.83
P022,M067,39.22
P022,M068,26.12
P022,M070,37.08
P022,M071,8.82
P022,M072,31.22
P022,M073,39.73
P022,M075,16.61
P022,M076,18.37
P022,M077,26.56
P022,M079,8.69
P022,M080,36.18
P022,M081,35.16
P022,M082,37.48
P022,M083,28.7
P022,M084,20.64
P022,M085,18.51
P022,M086,21.64
P022,M088,33.06
P022,M090,31.9
P022,M091,38.78
P022,M092,9.22
P022,M093,20.07
P022,M094,7.05
P022,M095,27.44
P022,M096,31.36
P022,M097,4.44
P022,M098,24.5
P022,M099,29.26
P022,M100,22.17
P023,M001,40.69
P023,M002,37.6
P023,M003,39.96
P023,M004,16.72
P023,M005,19.21
P023,M006,17.26
P023,M007,14.88
P023,M008,28.31
P023,M009,9.28
P023,M010,6.64
P023,M011,31.22
P023,M012,35.59
P023,M014,16.12
P023,M015,32.79
P023,M016,29.74
P023,M017,7.67
P023,M019,5.08
P023,M020,20.34
P023,M021,23.16
P023,M022,24.39
P023,M023,14.48
P023,M024,39.14
P023,M025,35.11
P023,M027,6.43
P023,M029,27.83
P023,M030,35.18
P023,M032,11.48
P023,M033,7.66
P023,M035,7.2
P023,M036,32.7
P023,M037,13.55
P023,M038,35.51
P023,M039,14.580000000000002
P023,M040,33.28
P023,M041,21.62
P023,M042,18.9
P023,M043,18.6
P023,M044,8.21
P023,M046,5.06
P023,M047,36.68
P023,M048,35.63
P023,M049,26.47
P023,M050,7.81
P023,M051,10.47
P023,M052,9.01
P023,M053,18.03
P023,M054,16.37
P023,M055,30.040000000000003
P023,M056,21.43
P023,M058,5.25
P023,M059,19.42
P023,M060,23.84
P023,M061,31.78
P023,M062,27.51
P023,M063,13.42
P023,M064,13.17
P023,M065,21.24
P023,M067,22.85
P023,M068,4.08
P023,M069,16.37
P023,M071,11.97
P023,M072,10.11
P023,M073,23.64
P023,M074,7.87
P023,M075,19.34
P023,M076,33.06
P023,M077,27.68
P023,M078,33.86
P023,M079,26.14
P023,M080,40.3
P023,M081,33.12
P023,M083,6.22
P023,M084,35.6
P023,M085,12.72
P023,M086,16.84
P023,M087,9.85
P023,M088,13.17
P023,M089,34.94
P023,M091,6.22
P023,M092,29.87
P023,M093,29.34
P023,M094,39.32
P023,M095,35.66
P023,M097,23.44
P023,M100,32.99
P024,M001,14.57
P024,M002,34.06
P024,M004,23.33
P024,M005,25.57
P024,M006,25.59
P024,M008,8.82
P024,M009,36.55
P024,M010,11.67
P024,M011,8.15
P024,M012,36.0
P024,M013,14.27
P024,M014,29.69
P024,M016,31.76
P024,M018,36.63
P024,M019,5.400000000000001
P024,M020,30.43
P024,M022,7.110000000000001
P024,M023,36.98
P024,M024,21.82
P024,M025,19.76
P024,M027,18.11
P024,M028,34.67
P024,M029,18.04
P024,M030,39.37
P024,M031,37.4
P024,M032,6.72
P024,M033,21.02
P024,M034,22.0
P024,M035,26.889999999999997
P024,M036,8.08
P024,M037,35.99
P024,M038,17.08
P024,M039,10.99
P024,M040,38.72
P024,M041,41.08
P024,M042,3.24
P024,M043,16.81
P024,M044,27.25
P024,M045,25.6
P024,M046,17.51
P024,M047,8.71
P024,M048,14.9
P024,M049,12.71
P024,M050,25.94
P024,M051,3.87
P024,M052,8.91
P024,M053,7.53
P024,M054,13.47
P024,M056,17.35
P024,M059,33.67
P024,M060,11.51
P024,M061,24.83
P024,M062,31.15
P024,M063,40.69
P024,M064,22.22
P024,M065,3.11
P024,M066,28.43
P024,M067,21.66
P024,M069,18.22
P024,M070,13.08
P024,M071,30.24
P024,M072,32.15
P024,M073,26.18
P024,M074,39.4
P024,M076,22.83
P024,M079,30.3
P024,M080,32.16
P024,M082,42.13
P024,M083,12.03
P024,M084,27.35
P024,M085,21.27
P024,M086,31.53
P024,M087,42.28
P024,M089,34.52
P024,M090,29.32
P024,M091,37.86
P024,M092,16.49
P024,M093,29.4
P024,M094,40.08
P024,M095,28.0
P024,M096,9.32
P024,M097,15.06
P024,M098,21.85
P024,M100,24.56
P025,M001,34.14
P025,M003,33.07
P025,M004,19.16
P025,M006,19.99
P025,M007,21.92
P025,M008,6.41
P025,M009,8.89
P025,M011,20.76
P025,M012,20.14
P025,M013,41.92
P025,M014,20.89
P025,M015,20.8
P025,M016,4.25
P025,M017,35.78
P025,M018,23.24
P025,M019,17.42
P025,M020,7.96
P025,M021,14.28
P025,M022,9.38
P025,M023,33.5
P025,M025,8.24
P025,M026,24.71
P025,M027,35.63
P025,M028,26.83
P025,M029,23.290000000000003
P025,M032,40.21
P025,M033,40.86
P025,M034,20.48
P025,M035,3.86
P025,M036,25.03
P025,M037,22.63
P025,M038,34.13
P025,M039,40.54
P025,M040,38.87
P025,M041,32.32
P025,M042,27.27
P025,M043,5.18
P025,M044,24.27
P025,M045,11.85
P025,M046,21.96
P025,M047,26.08
P025,M049,37.01
P025,M050,29.78
P025,M051,26.34
P025,M052,6.66
P025,M053,24.55
P025,M054,28.27
P025,M055,17.32
P025,M057,21.5
P025,M058,4.95
P025,M059,28.16
P025,M061,11.02
P025,M062,6.510000000000001
P025,M063,7.92
P025,M064,32.99
P025,M065,4.97
P025,M066,13.14
P025,M067,15.35
P025,M068,36.67
P025,M069,26.4
P025,M071,7.75
P025,M072,19.82
P025,M073,21.38
P025,M075,15.66
P025,M076,10.04
P025,M077,25.22
P025,M078,29.72
P025,M079,7.34
P025,M080,19.15
P025,M081,36.35
P025,M082,13.1
P025,M084,23.6
P025,M085,26.27
P025,M086,37.09
P025,M087,16.89
P025,M088,9.21
P025,M089,12.46
P025,M090,17.69
P025,M091,30.61
P025,M092,23.1
P025,M093,15.06
P025,M094,31.81
P025,M095,10.24
P025,M096,36.34
P025,M098,31.91
P025,M099,33.51
P025,M100,35.48
P026,M001,29.11
P026,M002,35.44
P026,M003,20.64
P026,M004,34.66
P026,M006,17.11
P026,M007,33.31
P026,M008,28.27
P026,M009,34.25
P026,M010,40.77
P026,M011,16.93
P026,M013,33.09
P026,M014,35.8
P026,M015,38.25
P026,M016,21.04
P026,M017,12.66
P026,M018,28.36
P026,M019,36.06
P026,M020,26.58
P026,M022,39.59
P026,M023,4.8
P026,M025,33.28
P026,M027,14.49
P026,M028,14.06
P026,M031,40.95
P026,M032,13.54
P026,M033,18.72
P026,M034,17.14
P026,M035,35.61
P026,M036,41.62
P026,M037,27.55
P026,M038,3.74
P026,M039,7.19
P026,M040,37.68
P026,M041,5.21
P026,M042,35.98
P026,M043,22.45
P026,M044,25.87
P026,M045,38.68
P026,M046,5.91
P026,M047,31.97
P026,M048,26.92
P026,M050,26.57
P026,M051,27.18
P026,M052,18.59
P026,M053,35.57
P026,M054,40.59
P026,M055,29.079999999999995
P026,M056,37.47
P026,M057,6.09
P026,M058,7.86
P026,M059,10.21
P026,M060,11.61
P026,M061,18.24
P026,M062,7.31
P026,M063,15.229999999999999
P026,M064,24.89
P026,M065,4.98
P026,M066,38.02
P026,M067,31.97
P026,M069,13.53
P026,M070,23.98
P026,M071,31.66
P026,M072,34.99
P026,M073,7.38
P026,M074,36.87
P026,M075,20.66
P026,M076,14.979999999999999
P026,M077,28.95
P026,M078,38.94
P026,M079,24.06
P026,M081,33.39
P026,M082,15.15
P026,M083,28.13
P026,M085,27.15
P026,M086,27.03
P026,M087,17.35
P026,M088,24.0
P026,M089,4.47
P026,M090,14.88
P026,M091,31.45
P026,M092,37.32
P026,M093,37.36
P026,M094,26.209999999999997
P026,M095,38.78
P026,M097,22.86
P026,M099,5.74
P026,M100,22.34
P027,M001,24.93
P027,M002,18.89
P027,M003,33.88
P027,M004,10.66
P027,M005,4.86
P027,M006,6.23
P027,M007,37.96
P027,M008,34.4
P027,M009,25.82
P027,M010,13.42
P027,M011,29.4
P027,M012,27.64
P027,M013,11.520000000000001
P027,M014,37.35
P027,M015,33.2
P027,M016,34.6
P027,M018,8.43
P027,M019,39.63
P027,M022,38.73
P027,M023,24.02
P027,M024,6.47
P027,M025,37.21
P027,M026,30.34
P027,M027,9.88
P027,M028,7.95
P027,M030,4.58
P027,M031,29.12
P027,M033,5.3
P027,M034,38.23
P027,M035,34.37
P027,M037,39.99
P027,M039,8.28
P027,M040,22.27
P027,M041,37.35
P027,M042,3.96
P027,M043,40.73
P027,M045,7.63
P027,M046,6.41
P027,M047,22.21
P027,M048,12.9
P027,M049,11.18
P027,M050,38.34
P027,M051,21.15
P027,M052,9.33
P027,M053,23.04
P027,M054,10.02
P027,M055,22.69
P027,M056,24.13
P027,M057,21.86
P027,M058,32.02
P027,M060,25.52
P027,M061,41.88
P027,M062,34.25
P027,M063,7.71
P027,M064,28.08
P027,M065,31.74
P027,M066,36.58
P027,M067,32.76
P027,M069,34.68
P027,M070,20.79
P027,M071,33.98
P027,M072,5.18
P027,M074,5.39
P027,M075,39.13
P027,M076,29.45
P027,M077,30.22
P027,M078,17.63
P027,M079,30.65
P027,M081,31.82
P027,M082,19.78
P027,M083,22.01
P027,M084,26.83
P027,M085,17.4
P027,M086,18.68
P027,M087,17.21
P027,M088,13.92
P027,M089,12.6
P027,M090,19.45
P027,M091,9.34
P027,M093,32.89
P027,M094,16.65
P027,M095,24.79
P027,M097,40.09
P027,M098,19.52
P027,M100,32.89
P028,M001,4.64
P028,M002,22.34
P028,M003,4.96
P028,M004,15.4
P028,M005,27.35
P028,M006,38.59
P028,M008,29.47
P028,M009,30.98
P028,M010,16.52
P028,M011,11.97
P028,M012,17.85
P028,M013,38.1
P028,M014,26.89
P028,M015,10.58
P028,M016,22.84
P028,M017,15.77
P028,M018,23.46
P028,M019,31.23
P028,M020,25.23
P028,M022,4.4
P028,M023,2.73
P028,M024,26.05
P028,M025,26.57
P028,M026,32.92
P028,M027,9.11
P028,M028,31.6
P028,M031,11.01
P028,M032,17.88
P028,M033,38.8
P028,M035,34.96
P028,M037,34.54
P028,M038,10.82
P028,M039,13.86
P028,M040,23.4
P028,M041,36.96
P028,M042,7.36
P028,M044,3.36
P028,M045,21.52
P028,M046,37.46
P028,M047,38.71
P028,M048,8.48
P028,M049,17.3
P028,M050,2.77
P028,M051,17.49
P028,M052,31.53
P028,M055,35.08
P028,M056,10.14
P028,M057,39.88
P028,M058,4.48
P028,M059,10.4
P028,M060,28.33
P028,M061,23.06
P028,M062,16.32
P028,M063,17.94
P028,M065,21.52
P028,M066,35.62
P028,M067,12.58
P028,M069,22.79
P028,M070,25.42
P028,M071,39.17
P028,M072,16.51
P028,M075,16.56
P028,M076,30.55
P028,M077,6.25
P028,M078,12.99
P028,M079,38.81
P028,M080,12.46
P028,M082,8.98
P028,M083,25.55
P028,M084,33.4
P028,M086,13.86
P028,M087,21.42
P028,M088,34.1
P028,M089,9.79
P028,M090,40.5
P028,M091,41.14
P028,M092,22.81
P028,M093,13.38
P028,M094,37.67
P028,M095,39.11
P028,M096,36.15
P028,M097,31.88
P028,M098,32.06
P028,M099,5.15
P028,M100,14.0
P029,M001,41.47
P029,M002,37.73
P029,M004,23.26
P029,M005,23.91
P029,M006,27.94
P029,M007,9.21
P029,M008,10.6
P029,M009,28.82
P029,M010,34.71
P029,M012,34.45
P029,M013,12.82
P029,M014,9.44
P029,M015,8.12
P029,M016,29.25
P029,M017,23.66
P029,M019,32.93
P029,M020,39.73
P029,M021,39.63
P029,M022,4.99
P029,M023,5.54
P029,M024,23.95
P029,M025,16.94
P029,M026,29.79
P029,M028,41.31
P029,M029,5.74
P029,M030,6.38
P029,M031,10.11
P029,M032,22.73
P029,M033,24.74
P029,M034,25.92
P029,M037,8.27
P029,M038,28.39
P029,M039,21.65
P029,M040,13.27
P029,M041,39.52
P029,M042,25.39
P029,M043,38.26
P029,M044,3.66
P029,M045,25.35
P029,M046,25.77
P029,M047,13.52
P029,M048,40.99
P029,M050,5.739999999999999
P029,M051,22.959999999999997
P029,M052,21.88
P029,M053,18.77
P029,M054,10.65
P029,M055,6.96
P029,M056,37.28
P029,M057,29.55
P029,M059,17.5
P029,M061,17.41
P029,M062,40.1
P029,M063,31.14
P029,M064,23.23
P029,M065,11.64
P029,M067,28.34
P029,M068,28.62
P029,M069,21.87
P029,M070,11.48
P029,M071,23.320000000000004
P029,M072,40.45
P029,M073,11.68
P029,M074,30.31
P029,M075,27.87
P029,M076,26.5
P029,M077,38.47
P029,M078,33.48
P029,M080,13.4
P029,M081,16.43
P029,M082,27.47
P029,M083,6.98
P029,M084,5.47
P029,M085,41.54
P029,M086,23.33
P029,M087,37.03
P029,M088,4.06
P029,M089,41.01
P029,M090,16.55
P029,M092,9.7
P029,M093,36.64
P029,M094,25.27
P029,M095,20.98
P029,M096,26.85
P029,M097,24.13
P029,M098,28.21
P029,M099,31.35
P029,M100,18.08
P030,M002,31.42
P030,M003,29.8
P030,M004,20.46
P030,M005,17.6
P030,M006,26.61
P030,M007,27.44
P030,M008,18.59
P030,M009,21.83
P030,M011,13.71
P030,M012,36.02
P030,M013,4.54
P030,M014,39.0
P030,M015,28.45
P030,M016,34.42
P030,M017,23.96
P030,M018,21.73
P030,M019,8.27
P030,M020,9.26
P030,M021,19.6
P030,M022,9.73
P030,M023,17.25
P030,M024,28.63
P030,M027,19.04
P030,M028,15.85
P030,M029,35.27
P030,M032,33.08
P030,M033,9.72
P030,M034,2.86
P030,M035,5.97
P030,M036,22.600000000000005
P030,M037,31.22
P030,M038,13.01
P030,M039,5.59
P030,M040,14.99
P030,M041,26.61
P030,M042,18.83
P030,M043,29.04
P030,M044,8.6
P030,M045,17.4
P030,M046,21.13
P030,M047,5.64
P030,M048,6.87
P030,M049,39.55
P030,M050,37.4
P030,M051,9.9
P030,M052,19.64
P030,M053,33.49
P030,M056,37.1
P030,M057,30.27
P030,M058,37.29
P030,M059,32.77
P030,M061,4.7
P030,M062,25.62
P030,M063,6.62
P030,M064,12.9
P030,M065,14.24
P030,M066,8.8
P030,M067,34.7
P030,M068,34.06
P030,M069,33.15
P030,M070,4.79
P030,M071,19.88
P030,M072,34.79
P030,M074,27.78
P030,M075,29.11
P030,M076,33.85
P030,M078,7.3
P030,M081,40.8
P030,M082,13.71
P030,M083,17.02
P030,M084,40.37
P030,M085,14.12
P030,M086,26.16
P030,M087,38.98
P030,M088,18.77
P030,M089,11.59
P030,M090,6.6
P030,M091,25.72
P030,M093,38.14
P030,M094,39.15
P030,M095,16.69
P030,M096,40.56
P030,M097,15.25
P030,M098,18.25
P030,M099,37.92
P030,M100,40.71
P031,M001,16.5
P031,M002,17.79
P031,M003,14.17
P031,M004,13.06
P031,M005,28.0
P031,M006,40.27
P031,M008,4.92
P031,M009,33.54
P031,M010,22.86
P031,M011,7.97
P031,M012,29.67
P031,M013,39.12
P031,M014,38.24
P031,M015,36.21
P031,M016,12.73
P031,M017,16.5
P031,M019,3.25
P031,M020,22.08
P031,M022,19.81
P031,M023,39.07
P031,M024,25.92
P031,M025,24.820000000000004
P031,M026,36.06
P031,M027,10.699999999999998
P031,M029,15.82
P031,M030,10.28
P031,M031,33.19
P031,M032,37.56
P031,M033,39.58
P031,M034,28.3
P031,M035,38.06
P031,M036,39.8
P031,M037,20.41
P031,M038,36.82
P031,M039,27.01
P031,M040,5.24
P031,M042,11.58
P031,M043,36.1
P031,M044,17.95
P031,M045,36.71
P031,M046,26.53
P031,M047,42.3
P031,M048,24.16
P031,M050,40.12
P031,M052,32.62
P031,M053,8.95
P031,M054,40.94
P031,M055,13.94
P031,M056,28.0
P031,M057,32.72
P031,M058,21.03
P031,M059,10.71
P031,M061,34.44
P031,M063,4.9
P031,M064,37.17
P031,M065,16.51
P031,M067,13.39
P031,M068,20.77
P031,M069,29.66
P031,M070,37.18
P031,M072,37.05
P031,M074,11.24
P031,M075,36.06
P031,M077,22.12
P031,M078,29.96
P031,M080,24.6
P031,M081,25.67
P031,M082,32.99
P031,M083,14.65
P031,M084,8.85
P031,M085,22.65
P031,M087,37.81
P031,M089,36.35
P031,M090,6.709999999999999
P031,M091,10.65
P031,M092,23.81
P031,M093,26.57
P031,M094,7.66
P031,M095,26.09
P031,M097,36.01
P031,M098,36.13
P031,M099,24.19
P031,M100,10.74
P032,M001,31.17
P032,M002,38.3
P032,M003,22.72
P032,M004,3.74
P032,M005,5.31
P032,M006,4.06
P032,M007,20.87
P032,M008,19.42
P032,M009,37.51
P032,M010,38.45
P032,M011,18.67
P032,M012,25.52
P032,M013,22.95
P032,M014,20.39
P032,M015,9.31
P032,M016,27.8
P032,M018,26.2
P032,M019,26.49
P032,M020,7.15
P032,M021,41.95
P032,M022,20.64
P032,M023,17.03
P032,M025,31.97
P032,M026,25.5
P032,M027,7.48
P032,M028,29.54
P032,M029,14.04
P032,M030,5.25
P032,M031,13.88
P032,M032,34.07
P032,M033,16.92
P032,M034,39.65
P032,M036,29.78
P032,M038,33.26
P032,M039,25.79
P032,M040,17.77
P032,M041,39.92
P032,M042,19.2
P032,M043,5.31
P032,M044,29.47
P032,M045,8.82
P032,M046,25.100000000000005
P032,M047,17.71
P032,M048,10.38
P032,M049,5.78
P032,M050,5.61
P032,M051,25.9
P032,M052,9.82
P032,M053,28.12
P032,M054,36.84
P032,M055,20.92
P032,M056,30.94
P032,M057,29.24
P032,M058,15.910000000000002
P032,M059,10.37
P032,M060,32.39
P032,M061,20.64
P032,M062,34.33
P032,M063,9.11
P032,M064,13.26
P032,M065,18.97
P032,M066,7.38
P032,M067,22.75
P032,M068,4.8
P032,M069,33.82
P032,M070,15.43
P032,M071,10.0
P032,M072,8.31
P032,M073,15.78
P032,M074,11.48
P032,M075,5.31
P032,M076,25.31
P032,M078,18.99
P032,M079,36.71
P032,M080,15.36
P032,M081,24.71
P032,M082,8.14
P032,M083,16.11
P032,M084,10.58
P032,M086,40.12
P032,M087,12.68
P032,M089,19.7
P032,M090,17.56
P032,M091,21.61
P032,M093,37.11
P032,M094,8.91
P032,M095,34.08
P032,M096,34.91
P032,M097,13.16
P032,M098,35.39
P032,M099,29.52
P032,M100,37.32
P033,M001,35.43
P033,M002,9.76
P033,M003,12.75
P033,M004,40.25
P033,M005,18.51
P033,M006,22.4
P033,M007,41.9
P033,M008,19.59
P033,M009,35.72
P033,M010,16.23
P033,M011,40.75
P033,M012,26.57
P033,M013,23.94
P033,M014,11.12
P033,M015,31.53
P033,M016,15.61
P033,M018,29.75
P033,M019,14.08
P033,M020,18.15
P033,M021,10.5
P033,M022,29.69
P033,M024,12.86
P033,M025,6.6
